Training loss	Validation loss	
 4.9371e-03	 5.1611e-03	
 4.8854e-03	 5.1555e-03	
 4.9307e-03	 5.1554e-03	
 4.8792e-03	 5.1498e-03	
 4.9242e-03	 5.1498e-03	
 4.8732e-03	 5.1442e-03	
 4.9188e-03	 5.1442e-03	
 4.8674e-03	 5.1387e-03	
 4.9136e-03	 5.1387e-03	
 4.8611e-03	 5.1332e-03	
 4.9077e-03	 5.1333e-03	
 4.8552e-03	 5.1278e-03	
 4.9016e-03	 5.1279e-03	
 4.8489e-03	 5.1225e-03	
 4.8957e-03	 5.1226e-03	
 4.8429e-03	 5.1172e-03	
 4.8894e-03	 5.1173e-03	
 4.8372e-03	 5.1120e-03	
 4.8839e-03	 5.1121e-03	
 4.8317e-03	 5.1068e-03	
 4.8788e-03	 5.1070e-03	
 4.8258e-03	 5.1017e-03	
 4.8731e-03	 5.1019e-03	
 4.8199e-03	 5.0967e-03	
 4.8674e-03	 5.0968e-03	
 4.8142e-03	 5.0917e-03	
 4.8614e-03	 5.0918e-03	
 4.8087e-03	 5.0867e-03	
 4.8561e-03	 5.0869e-03	
 4.8034e-03	 5.0818e-03	
 4.8510e-03	 5.0820e-03	
 4.7981e-03	 5.0769e-03	
 4.8459e-03	 5.0771e-03	
 4.7925e-03	 5.0721e-03	
 4.8400e-03	 5.0723e-03	
 4.7867e-03	 5.0673e-03	
 4.8341e-03	 5.0676e-03	
 4.7816e-03	 5.0626e-03	
 4.8288e-03	 5.0629e-03	
 4.7766e-03	 5.0579e-03	
 4.8237e-03	 5.0582e-03	
 4.7714e-03	 5.0533e-03	
 4.8189e-03	 5.0536e-03	
 4.7663e-03	 5.0487e-03	
 4.8141e-03	 5.0490e-03	
 4.7609e-03	 5.0442e-03	
 4.8096e-03	 5.0445e-03	
 4.7555e-03	 5.0397e-03	
 4.8045e-03	 5.0400e-03	
 4.7505e-03	 5.0352e-03	
 4.7990e-03	 5.0355e-03	
 4.7453e-03	 5.0308e-03	
 4.7932e-03	 5.0311e-03	
 4.7406e-03	 5.0264e-03	
 4.7880e-03	 5.0267e-03	
 4.7357e-03	 5.0220e-03	
 4.7833e-03	 5.0224e-03	
 4.7309e-03	 5.0177e-03	
 4.7787e-03	 5.0181e-03	
 4.7261e-03	 5.0135e-03	
 4.7741e-03	 5.0138e-03	
 4.7212e-03	 5.0092e-03	
 4.7694e-03	 5.0096e-03	
 4.7163e-03	 5.0050e-03	
 4.7639e-03	 5.0054e-03	
 4.7114e-03	 5.0009e-03	
 4.7585e-03	 5.0012e-03	
 4.7067e-03	 4.9967e-03	
 4.7539e-03	 4.9971e-03	
 4.7023e-03	 4.9927e-03	
 4.7498e-03	 4.9930e-03	
 4.6980e-03	 4.9886e-03	
 4.7458e-03	 4.9890e-03	
 4.6937e-03	 4.9846e-03	
 4.7419e-03	 4.9850e-03	
 4.6889e-03	 4.9806e-03	
 4.7365e-03	 4.9810e-03	
 4.6837e-03	 4.9766e-03	
 4.7305e-03	 4.9770e-03	
 4.6789e-03	 4.9727e-03	
 4.7257e-03	 4.9731e-03	
 4.6749e-03	 4.9688e-03	
 4.7223e-03	 4.9692e-03	
 4.6712e-03	 4.9650e-03	
 4.7192e-03	 4.9654e-03	
 4.6670e-03	 4.9611e-03	
 4.7151e-03	 4.9616e-03	
 4.6622e-03	 4.9573e-03	
 4.7099e-03	 4.9577e-03	
 4.6574e-03	 4.9536e-03	
 4.7045e-03	 4.9540e-03	
 4.6531e-03	 4.9498e-03	
 4.7000e-03	 4.9502e-03	
 4.6492e-03	 4.9461e-03	
 4.6956e-03	 4.9465e-03	
 4.6452e-03	 4.9425e-03	
 4.6918e-03	 4.9429e-03	
 4.6411e-03	 4.9388e-03	
 4.6879e-03	 4.9392e-03	
 4.6370e-03	 4.9352e-03	
 4.6837e-03	 4.9356e-03	
 4.6328e-03	 4.9316e-03	
 4.6791e-03	 4.9320e-03	
 4.6284e-03	 4.9281e-03	
 4.6742e-03	 4.9285e-03	
 4.6244e-03	 4.9245e-03	
 4.6700e-03	 4.9249e-03	
 4.6206e-03	 4.9210e-03	
 4.6665e-03	 4.9214e-03	
 4.6168e-03	 4.9176e-03	
 4.6628e-03	 4.9180e-03	
 4.6128e-03	 4.9141e-03	
 4.6588e-03	 4.9145e-03	
 4.6086e-03	 4.9107e-03	
 4.6543e-03	 4.9111e-03	
 4.6046e-03	 4.9073e-03	
 4.6499e-03	 4.9077e-03	
 4.6008e-03	 4.9039e-03	
 4.6462e-03	 4.9043e-03	
 4.5972e-03	 4.9006e-03	
 4.6425e-03	 4.9010e-03	
 4.5936e-03	 4.8973e-03	
 4.6387e-03	 4.8977e-03	
 4.5898e-03	 4.8940e-03	
 4.6349e-03	 4.8944e-03	
 4.5861e-03	 4.8907e-03	
 4.6311e-03	 4.8911e-03	
 4.5823e-03	 4.8875e-03	
 4.6271e-03	 4.8879e-03	
 4.5785e-03	 4.8843e-03	
 4.6229e-03	 4.8847e-03	
 4.5747e-03	 4.8811e-03	
 4.6190e-03	 4.8815e-03	
 4.5711e-03	 4.8779e-03	
 4.6152e-03	 4.8783e-03	
 4.5677e-03	 4.8748e-03	
 4.6117e-03	 4.8752e-03	
 4.5643e-03	 4.8717e-03	
 4.6081e-03	 4.8721e-03	
 4.5607e-03	 4.8686e-03	
 4.6044e-03	 4.8690e-03	
 4.5571e-03	 4.8655e-03	
 4.6009e-03	 4.8659e-03	
 4.5537e-03	 4.8625e-03	
 4.5971e-03	 4.8629e-03	
 4.5503e-03	 4.8594e-03	
 4.5936e-03	 4.8598e-03	
 4.5468e-03	 4.8564e-03	
 4.5902e-03	 4.8568e-03	
 4.5434e-03	 4.8535e-03	
 4.5865e-03	 4.8539e-03	
 4.5400e-03	 4.8505e-03	
 4.5830e-03	 4.8509e-03	
 4.5367e-03	 4.8476e-03	
 4.5796e-03	 4.8480e-03	
 4.5334e-03	 4.8447e-03	
 4.5763e-03	 4.8451e-03	
 4.5302e-03	 4.8418e-03	
 4.5726e-03	 4.8422e-03	
 4.5268e-03	 4.8389e-03	
 4.5692e-03	 4.8393e-03	
 4.5236e-03	 4.8361e-03	
 4.5659e-03	 4.8365e-03	
 4.5204e-03	 4.8333e-03	
 4.5624e-03	 4.8337e-03	
 4.5172e-03	 4.8305e-03	
 4.5592e-03	 4.8309e-03	
 4.5141e-03	 4.8277e-03	
 4.5560e-03	 4.8281e-03	
 4.5110e-03	 4.8250e-03	
 4.5525e-03	 4.8254e-03	
 4.5077e-03	 4.8222e-03	
 4.5491e-03	 4.8226e-03	
 4.5047e-03	 4.8195e-03	
 4.5458e-03	 4.8199e-03	
 4.5016e-03	 4.8169e-03	
 4.5426e-03	 4.8172e-03	
 4.4986e-03	 4.8142e-03	
 4.5396e-03	 4.8146e-03	
 4.4958e-03	 4.8115e-03	
 4.5365e-03	 4.8119e-03	
 4.4929e-03	 4.8089e-03	
 4.5336e-03	 4.8093e-03	
 4.4899e-03	 4.8063e-03	
 4.5305e-03	 4.8067e-03	
 4.4868e-03	 4.8037e-03	
 4.5270e-03	 4.8041e-03	
 4.4839e-03	 4.8012e-03	
 4.5236e-03	 4.8015e-03	
 4.4810e-03	 4.7986e-03	
 4.5206e-03	 4.7990e-03	
 4.4783e-03	 4.7961e-03	
 4.5178e-03	 4.7964e-03	
 4.4756e-03	 4.7936e-03	
 4.5152e-03	 4.7939e-03	
 4.4726e-03	 4.7911e-03	
 4.5120e-03	 4.7914e-03	
 4.4698e-03	 4.7886e-03	
 4.5088e-03	 4.7890e-03	
 4.4669e-03	 4.7862e-03	
 4.5058e-03	 4.7865e-03	
 4.4642e-03	 4.7838e-03	
 4.5032e-03	 4.7841e-03	
 4.4616e-03	 4.7814e-03	
 4.5005e-03	 4.7817e-03	
 4.4589e-03	 4.7790e-03	
 4.4975e-03	 4.7793e-03	
 4.4561e-03	 4.7766e-03	
 4.4944e-03	 4.7769e-03	
 4.4534e-03	 4.7742e-03	
 4.4914e-03	 4.7746e-03	
 4.4508e-03	 4.7719e-03	
 4.4887e-03	 4.7722e-03	
 4.4483e-03	 4.7696e-03	
 4.4861e-03	 4.7699e-03	
 4.4456e-03	 4.7673e-03	
 4.4832e-03	 4.7676e-03	
 4.4431e-03	 4.7650e-03	
 4.4803e-03	 4.7653e-03	
 4.4406e-03	 4.7628e-03	
 4.4777e-03	 4.7631e-03	
 4.4381e-03	 4.7605e-03	
 4.4752e-03	 4.7608e-03	
 4.4357e-03	 4.7583e-03	
 4.4727e-03	 4.7586e-03	
 4.4332e-03	 4.7561e-03	
 4.4700e-03	 4.7564e-03	
 4.4307e-03	 4.7539e-03	
 4.4673e-03	 4.7542e-03	
 4.4283e-03	 4.7517e-03	
 4.4646e-03	 4.7520e-03	
 4.4259e-03	 4.7496e-03	
 4.4620e-03	 4.7499e-03	
 4.4235e-03	 4.7475e-03	
 4.4593e-03	 4.7478e-03	
 4.4211e-03	 4.7453e-03	
 4.4566e-03	 4.7456e-03	
 4.4187e-03	 4.7433e-03	
 4.4537e-03	 4.7435e-03	
 4.4164e-03	 4.7412e-03	
 4.4512e-03	 4.7414e-03	
 4.4143e-03	 4.7391e-03	
 4.4493e-03	 4.7394e-03	
 4.4121e-03	 4.7371e-03	
 4.4470e-03	 4.7373e-03	
 4.4100e-03	 4.7350e-03	
