Training loss	Validation loss	
 5.3250e-03	 5.6916e-03	
 5.3227e-03	 5.6896e-03	
 5.3204e-03	 5.6876e-03	
 5.3181e-03	 5.6856e-03	
 5.3159e-03	 5.6836e-03	
 5.3136e-03	 5.6817e-03	
 5.3113e-03	 5.6797e-03	
 5.3091e-03	 5.6778e-03	
 5.3069e-03	 5.6758e-03	
 5.3047e-03	 5.6739e-03	
 5.3025e-03	 5.6719e-03	
 5.3003e-03	 5.6700e-03	
 5.2981e-03	 5.6681e-03	
 5.2959e-03	 5.6662e-03	
 5.2937e-03	 5.6643e-03	
 5.2916e-03	 5.6624e-03	
 5.2894e-03	 5.6605e-03	
 5.2873e-03	 5.6586e-03	
 5.2851e-03	 5.6568e-03	
 5.2830e-03	 5.6549e-03	
 5.2809e-03	 5.6530e-03	
 5.2788e-03	 5.6512e-03	
 5.2767e-03	 5.6493e-03	
 5.2746e-03	 5.6475e-03	
 5.2726e-03	 5.6457e-03	
 5.2705e-03	 5.6439e-03	
 5.2684e-03	 5.6420e-03	
 5.2664e-03	 5.6402e-03	
 5.2644e-03	 5.6384e-03	
 5.2623e-03	 5.6366e-03	
 5.2603e-03	 5.6349e-03	
 5.2583e-03	 5.6331e-03	
 5.2563e-03	 5.6313e-03	
 5.2544e-03	 5.6295e-03	
 5.2524e-03	 5.6278e-03	
 5.2504e-03	 5.6260e-03	
 5.2485e-03	 5.6243e-03	
 5.2465e-03	 5.6226e-03	
 5.2446e-03	 5.6208e-03	
 5.2427e-03	 5.6191e-03	
 5.2408e-03	 5.6174e-03	
 5.2389e-03	 5.6157e-03	
 5.2370e-03	 5.6140e-03	
 5.2351e-03	 5.6123e-03	
 5.2332e-03	 5.6106e-03	
 5.2313e-03	 5.6089e-03	
 5.2295e-03	 5.6072e-03	
 5.2276e-03	 5.6056e-03	
 5.2258e-03	 5.6039e-03	
 5.2240e-03	 5.6023e-03	
 5.2221e-03	 5.6006e-03	
 5.2203e-03	 5.5990e-03	
 5.2185e-03	 5.5973e-03	
 5.2167e-03	 5.5957e-03	
 5.2150e-03	 5.5941e-03	
 5.2132e-03	 5.5925e-03	
