Training loss	Validation loss	
 5.0541e-03	 5.3537e-03	
 5.0461e-03	 5.3459e-03	
 5.0385e-03	 5.3385e-03	
 5.0313e-03	 5.3315e-03	
 5.0244e-03	 5.3249e-03	
 5.0179e-03	 5.3187e-03	
 5.0116e-03	 5.3127e-03	
 5.0056e-03	 5.3070e-03	
 4.9997e-03	 5.3016e-03	
 4.9941e-03	 5.2963e-03	
 4.9887e-03	 5.2912e-03	
 4.9834e-03	 5.2863e-03	
 4.9782e-03	 5.2815e-03	
 4.9732e-03	 5.2769e-03	
 4.9683e-03	 5.2724e-03	
 4.9634e-03	 5.2680e-03	
 4.9587e-03	 5.2637e-03	
 4.9541e-03	 5.2595e-03	
 4.9496e-03	 5.2553e-03	
 4.9451e-03	 5.2513e-03	
 4.9407e-03	 5.2473e-03	
 4.9364e-03	 5.2434e-03	
 4.9322e-03	 5.2396e-03	
 4.9280e-03	 5.2358e-03	
 4.9239e-03	 5.2320e-03	
 4.9198e-03	 5.2284e-03	
 4.9158e-03	 5.2247e-03	
 4.9118e-03	 5.2211e-03	
 4.9078e-03	 5.2176e-03	
 4.9039e-03	 5.2141e-03	
 4.9001e-03	 5.2106e-03	
 4.8963e-03	 5.2072e-03	
 4.8925e-03	 5.2038e-03	
 4.8888e-03	 5.2004e-03	
 4.8851e-03	 5.1971e-03	
 4.8814e-03	 5.1937e-03	
 4.8777e-03	 5.1905e-03	
 4.8741e-03	 5.1872e-03	
 4.8705e-03	 5.1840e-03	
 4.8670e-03	 5.1808e-03	
 4.8635e-03	 5.1776e-03	
 4.8600e-03	 5.1744e-03	
 4.8565e-03	 5.1713e-03	
 4.8531e-03	 5.1682e-03	
 4.8496e-03	 5.1651e-03	
 4.8462e-03	 5.1620e-03	
 4.8428e-03	 5.1590e-03	
 4.8395e-03	 5.1560e-03	
 4.8361e-03	 5.1529e-03	
 4.8328e-03	 5.1500e-03	
 4.8295e-03	 5.1470e-03	
 4.8263e-03	 5.1440e-03	
 4.8230e-03	 5.1411e-03	
 4.8198e-03	 5.1382e-03	
 4.8166e-03	 5.1352e-03	
 4.8134e-03	 5.1324e-03	
 4.8102e-03	 5.1295e-03	
 4.8071e-03	 5.1266e-03	
 4.8040e-03	 5.1238e-03	
 4.8009e-03	 5.1209e-03	
 4.7978e-03	 5.1181e-03	
 4.7947e-03	 5.1153e-03	
 4.7916e-03	 5.1126e-03	
 4.7886e-03	 5.1098e-03	
 4.7856e-03	 5.1070e-03	
 4.7826e-03	 5.1043e-03	
 4.7796e-03	 5.1016e-03	
 4.7766e-03	 5.0988e-03	
 4.7737e-03	 5.0962e-03	
 4.7707e-03	 5.0935e-03	
 4.7678e-03	 5.0908e-03	
 4.7649e-03	 5.0881e-03	
 4.7620e-03	 5.0855e-03	
 4.7591e-03	 5.0829e-03	
 4.7563e-03	 5.0802e-03	
 4.7535e-03	 5.0776e-03	
 4.7506e-03	 5.0750e-03	
 4.7478e-03	 5.0724e-03	
 4.7451e-03	 5.0699e-03	
 4.7423e-03	 5.0673e-03	
 4.7396e-03	 5.0647e-03	
 4.7368e-03	 5.0622e-03	
 4.7342e-03	 5.0597e-03	
 4.7314e-03	 5.0572e-03	
 4.7288e-03	 5.0547e-03	
 4.7261e-03	 5.0522e-03	
 4.7234e-03	 5.0497e-03	
 4.7207e-03	 5.0472e-03	
 4.7181e-03	 5.0448e-03	
 4.7154e-03	 5.0423e-03	
 4.7128e-03	 5.0399e-03	
 4.7102e-03	 5.0375e-03	
 4.7076e-03	 5.0351e-03	
 4.7051e-03	 5.0327e-03	
 4.7025e-03	 5.0303e-03	
 4.7000e-03	 5.0279e-03	
 4.6975e-03	 5.0256e-03	
 4.6949e-03	 5.0232e-03	
 4.6924e-03	 5.0209e-03	
 4.6899e-03	 5.0186e-03	
 4.6874e-03	 5.0163e-03	
 4.6850e-03	 5.0140e-03	
 4.6825e-03	 5.0117e-03	
 4.6801e-03	 5.0094e-03	
 4.6776e-03	 5.0072e-03	
 4.6752e-03	 5.0049e-03	
 4.6728e-03	 5.0027e-03	
 4.6704e-03	 5.0004e-03	
 4.6680e-03	 4.9982e-03	
 4.6657e-03	 4.9960e-03	
 4.6632e-03	 4.9938e-03	
 4.6609e-03	 4.9916e-03	
 4.6586e-03	 4.9895e-03	
 4.6563e-03	 4.9873e-03	
 4.6540e-03	 4.9852e-03	
 4.6517e-03	 4.9830e-03	
 4.6494e-03	 4.9809e-03	
 4.6471e-03	 4.9788e-03	
 4.6448e-03	 4.9767e-03	
 4.6426e-03	 4.9746e-03	
 4.6403e-03	 4.9725e-03	
 4.6381e-03	 4.9704e-03	
 4.6359e-03	 4.9684e-03	
 4.6337e-03	 4.9663e-03	
 4.6315e-03	 4.9643e-03	
 4.6294e-03	 4.9623e-03	
 4.6272e-03	 4.9602e-03	
 4.6250e-03	 4.9582e-03	
 4.6228e-03	 4.9562e-03	
 4.6206e-03	 4.9542e-03	
 4.6185e-03	 4.9523e-03	
 4.6164e-03	 4.9503e-03	
 4.6143e-03	 4.9483e-03	
 4.6122e-03	 4.9464e-03	
 4.6101e-03	 4.9444e-03	
 4.6080e-03	 4.9425e-03	
 4.6060e-03	 4.9406e-03	
 4.6039e-03	 4.9387e-03	
 4.6018e-03	 4.9368e-03	
 4.5998e-03	 4.9349e-03	
 4.5977e-03	 4.9330e-03	
 4.5957e-03	 4.9311e-03	
 4.5937e-03	 4.9293e-03	
 4.5917e-03	 4.9274e-03	
 4.5897e-03	 4.9256e-03	
 4.5878e-03	 4.9238e-03	
 4.5858e-03	 4.9219e-03	
 4.5838e-03	 4.9201e-03	
 4.5819e-03	 4.9183e-03	
 4.5800e-03	 4.9165e-03	
 4.5780e-03	 4.9147e-03	
 4.5761e-03	 4.9130e-03	
 4.5741e-03	 4.9112e-03	
 4.5723e-03	 4.9094e-03	
 4.5703e-03	 4.9077e-03	
 4.5685e-03	 4.9059e-03	
 4.5666e-03	 4.9042e-03	
 4.5647e-03	 4.9025e-03	
 4.5628e-03	 4.9008e-03	
 4.5609e-03	 4.8991e-03	
 4.5591e-03	 4.8974e-03	
 4.5572e-03	 4.8957e-03	
 4.5554e-03	 4.8940e-03	
 4.5535e-03	 4.8923e-03	
 4.5517e-03	 4.8907e-03	
 4.5499e-03	 4.8890e-03	
 4.5481e-03	 4.8874e-03	
 4.5463e-03	 4.8857e-03	
 4.5445e-03	 4.8841e-03	
 4.5427e-03	 4.8825e-03	
 4.5409e-03	 4.8809e-03	
 4.5391e-03	 4.8793e-03	
 4.5373e-03	 4.8777e-03	
 4.5355e-03	 4.8761e-03	
 4.5338e-03	 4.8745e-03	
 4.5320e-03	 4.8729e-03	
 4.5302e-03	 4.8714e-03	
 4.5285e-03	 4.8698e-03	
 4.5268e-03	 4.8682e-03	
 4.5251e-03	 4.8667e-03	
 4.5235e-03	 4.8652e-03	
 4.5218e-03	 4.8636e-03	
 4.5201e-03	 4.8621e-03	
 4.5184e-03	 4.8606e-03	
 4.5168e-03	 4.8591e-03	
 4.5150e-03	 4.8576e-03	
 4.5134e-03	 4.8561e-03	
 4.5117e-03	 4.8547e-03	
 4.5101e-03	 4.8532e-03	
 4.5084e-03	 4.8517e-03	
 4.5067e-03	 4.8503e-03	
 4.5052e-03	 4.8488e-03	
 4.5034e-03	 4.8474e-03	
 4.5019e-03	 4.8459e-03	
 4.5002e-03	 4.8445e-03	
 4.4985e-03	 4.8431e-03	
 4.4969e-03	 4.8416e-03	
 4.4953e-03	 4.8402e-03	
 4.4937e-03	 4.8388e-03	
 4.4921e-03	 4.8374e-03	
 4.4905e-03	 4.8361e-03	
 4.4889e-03	 4.8347e-03	
 4.4874e-03	 4.8333e-03	
 4.4857e-03	 4.8319e-03	
 4.4842e-03	 4.8306e-03	
 4.4826e-03	 4.8292e-03	
 4.4810e-03	 4.8279e-03	
 4.4795e-03	 4.8265e-03	
 4.4779e-03	 4.8252e-03	
 4.4765e-03	 4.8239e-03	
 4.4748e-03	 4.8225e-03	
 4.4734e-03	 4.8212e-03	
 4.4717e-03	 4.8199e-03	
 4.4703e-03	 4.8186e-03	
 4.4686e-03	 4.8173e-03	
 4.4672e-03	 4.8160e-03	
 4.4656e-03	 4.8147e-03	
 4.4642e-03	 4.8134e-03	
 4.4626e-03	 4.8122e-03	
 4.4612e-03	 4.8109e-03	
 4.4596e-03	 4.8096e-03	
 4.4582e-03	 4.8084e-03	
 4.4566e-03	 4.8071e-03	
 4.4552e-03	 4.8059e-03	
 4.4535e-03	 4.8047e-03	
 4.4522e-03	 4.8034e-03	
 4.4505e-03	 4.8022e-03	
 4.4493e-03	 4.8010e-03	
 4.4475e-03	 4.7998e-03	
 4.4463e-03	 4.7986e-03	
 4.4446e-03	 4.7973e-03	
 4.4434e-03	 4.7962e-03	
 4.4417e-03	 4.7950e-03	
 4.4404e-03	 4.7938e-03	
 4.4388e-03	 4.7926e-03	
 4.4375e-03	 4.7914e-03	
 4.4359e-03	 4.7902e-03	
 4.4346e-03	 4.7891e-03	
 4.4331e-03	 4.7879e-03	
 4.4318e-03	 4.7868e-03	
 4.4301e-03	 4.7856e-03	
 4.4292e-03	 4.7845e-03	
 4.4272e-03	 4.7833e-03	
 4.4266e-03	 4.7822e-03	
 4.4240e-03	 4.7810e-03	
 4.4243e-03	 4.7800e-03	
 4.4205e-03	 4.7788e-03	
 4.4228e-03	 4.7778e-03	
 4.4164e-03	 4.7765e-03	
 4.4236e-03	 4.7756e-03	
 4.4113e-03	 4.7743e-03	
 4.4344e-03	 4.7738e-03	
 4.4102e-03	 4.7723e-03	
 4.4917e-03	 4.7726e-03	
 4.4250e-03	 4.7709e-03	
 4.5681e-03	 4.7706e-03	
 4.4111e-03	 4.7682e-03	
 4.4777e-03	 4.7678e-03	
 4.4009e-03	 4.7659e-03	
 4.4342e-03	 4.7654e-03	
 4.4004e-03	 4.7639e-03	
 4.4183e-03	 4.7631e-03	
 4.4003e-03	 4.7618e-03	
 4.4107e-03	 4.7610e-03	
 4.3992e-03	 4.7598e-03	
 4.4059e-03	 4.7589e-03	
 4.3975e-03	 4.7577e-03	
 4.4023e-03	 4.7568e-03	
 4.3953e-03	 4.7557e-03	
 4.3992e-03	 4.7548e-03	
 4.3929e-03	 4.7537e-03	
 4.3965e-03	 4.7528e-03	
 4.3903e-03	 4.7517e-03	
 4.3942e-03	 4.7508e-03	
 4.3874e-03	 4.7497e-03	
 4.3922e-03	 4.7488e-03	
 4.3843e-03	 4.7477e-03	
 4.3912e-03	 4.7469e-03	
 4.3808e-03	 4.7457e-03	
 4.3923e-03	 4.7450e-03	
 4.3772e-03	 4.7438e-03	
 4.3985e-03	 4.7433e-03	
 4.3750e-03	 4.7419e-03	
 4.4188e-03	 4.7418e-03	
 4.3782e-03	 4.7403e-03	
 4.4575e-03	 4.7403e-03	
 4.3799e-03	 4.7386e-03	
 4.4575e-03	 4.7383e-03	
 4.3716e-03	 4.7365e-03	
 4.4215e-03	 4.7362e-03	
 4.3663e-03	 4.7346e-03	
 4.3979e-03	 4.7341e-03	
 4.3646e-03	 4.7327e-03	
 4.3860e-03	 4.7322e-03	
 4.3635e-03	 4.7309e-03	
 4.3793e-03	 4.7303e-03	
 4.3620e-03	 4.7291e-03	
 4.3750e-03	 4.7285e-03	
 4.3601e-03	 4.7274e-03	
 4.3724e-03	 4.7267e-03	
 4.3578e-03	 4.7256e-03	
 4.3710e-03	 4.7249e-03	
 4.3553e-03	 4.7238e-03	
 4.3716e-03	 4.7232e-03	
 4.3528e-03	 4.7221e-03	
 4.3755e-03	 4.7216e-03	
 4.3511e-03	 4.7204e-03	
 4.3859e-03	 4.7201e-03	
 4.3515e-03	 4.7188e-03	
 4.4034e-03	 4.7186e-03	
 4.3525e-03	 4.7172e-03	
 4.4125e-03	 4.7170e-03	
 4.3495e-03	 4.7155e-03	
 4.4001e-03	 4.7152e-03	
 4.3447e-03	 4.7137e-03	
 4.3823e-03	 4.7134e-03	
 4.3416e-03	 4.7120e-03	
 4.3697e-03	 4.7116e-03	
 4.3397e-03	 4.7104e-03	
 4.3621e-03	 4.7099e-03	
 4.3381e-03	 4.7087e-03	
 4.3578e-03	 4.7082e-03	
 4.3363e-03	 4.7071e-03	
 4.3557e-03	 4.7066e-03	
 4.3345e-03	 4.7055e-03	
 4.3555e-03	 4.7050e-03	
 4.3327e-03	 4.7039e-03	
 4.3579e-03	 4.7035e-03	
