Training loss	Validation loss	
 4.6111e-03	 5.5353e-03	
 4.6090e-03	 5.5306e-03	
 4.6069e-03	 5.5258e-03	
 4.6047e-03	 5.5213e-03	
 4.6027e-03	 5.5168e-03	
 4.6007e-03	 5.5124e-03	
 4.5987e-03	 5.5082e-03	
 4.5967e-03	 5.5040e-03	
 4.5947e-03	 5.4995e-03	
 4.5928e-03	 5.4956e-03	
 4.5909e-03	 5.4915e-03	
 4.5890e-03	 5.4871e-03	
 4.5871e-03	 5.4831e-03	
 4.5852e-03	 5.4791e-03	
 4.5834e-03	 5.4751e-03	
 4.5816e-03	 5.4710e-03	
 4.5797e-03	 5.4673e-03	
 4.5780e-03	 5.4636e-03	
 4.5762e-03	 5.4596e-03	
 4.5745e-03	 5.4555e-03	
 4.5726e-03	 5.4516e-03	
 4.5709e-03	 5.4477e-03	
 4.5692e-03	 5.4438e-03	
 4.5674e-03	 5.4401e-03	
 4.5658e-03	 5.4365e-03	
 4.5641e-03	 5.4331e-03	
 4.5625e-03	 5.4294e-03	
 4.5608e-03	 5.4255e-03	
 4.5591e-03	 5.4219e-03	
 4.5575e-03	 5.4183e-03	
 4.5559e-03	 5.4147e-03	
 4.5542e-03	 5.4111e-03	
 4.5526e-03	 5.4076e-03	
 4.5511e-03	 5.4041e-03	
 4.5495e-03	 5.4009e-03	
 4.5480e-03	 5.3976e-03	
 4.5465e-03	 5.3942e-03	
 4.5450e-03	 5.3907e-03	
 4.5435e-03	 5.3872e-03	
 4.5419e-03	 5.3839e-03	
 4.5404e-03	 5.3806e-03	
 4.5390e-03	 5.3774e-03	
 4.5375e-03	 5.3741e-03	
 4.5360e-03	 5.3707e-03	
 4.5346e-03	 5.3678e-03	
 4.5332e-03	 5.3646e-03	
 4.5318e-03	 5.3614e-03	
 4.5303e-03	 5.3580e-03	
 4.5289e-03	 5.3547e-03	
 4.5275e-03	 5.3516e-03	
 4.5261e-03	 5.3486e-03	
 4.5248e-03	 5.3456e-03	
 4.5234e-03	 5.3425e-03	
 4.5220e-03	 5.3395e-03	
 4.5207e-03	 5.3365e-03	
 4.5193e-03	 5.3336e-03	
